APAS-TR PPP Solutions 
GPS-  Combination
 Epoch   YEAR    DOY     Sec of GPSweek       X-coordinates   Y-coordinates   Z coordinates      GPS rec clkoff     ZTD         ISB-GLO       ISB-GAL        ISB-BDS2      ISB-BDS3        ISB-J
 -----   -----   ----    --------------       -------------   --------------  -------------      --------------    -------      ----------    ----------     -----------   ----------      -----------
    1     2023   344             0.0000       -2713834.1245    5303936.6599   -2269514.2419       4.95047196        2.4763      0.000000       0.000000        0.000000      0.000000       0.000000
    2     2023   344            30.0000       -2713834.3257    5303936.8394   -2269514.0027       4.92685315        2.4225      0.000000       0.000000        0.000000      0.000000       0.000000
    3     2023   344            60.0000       -2713834.0321    5303936.3102   -2269513.8143       3.98488230        2.4224      0.000000       0.000000        0.000000      0.000000       0.000000
    4     2023   344            90.0000       -2713833.7373    5303935.7513   -2269513.6847       3.95857370        2.4290      0.000000       0.000000        0.000000      0.000000       0.000000
    5     2023   344           120.0000       -2713833.5817    5303935.5711   -2269513.6200       2.95676197        2.4369      0.000000       0.000000        0.000000      0.000000       0.000000
    6     2023   344           150.0000       -2713833.6301    5303935.4974   -2269513.6904       3.79470524        2.4129      0.000000       0.000000        0.000000      0.000000       0.000000
    7     2023   344           180.0000       -2713833.6840    5303935.5152   -2269513.7281       3.65634477        2.3920      0.000000       0.000000        0.000000      0.000000       0.000000
    8     2023   344           210.0000       -2713833.6984    5303935.5234   -2269513.7520       3.76397690        2.3731      0.000000       0.000000        0.000000      0.000000       0.000000
    9     2023   344           240.0000       -2713833.6645    5303935.4124   -2269513.7338       3.79185119        2.3814      0.000000       0.000000        0.000000      0.000000       0.000000
   10     2023   344           270.0000       -2713833.5238    5303935.2583   -2269513.6830       3.60602631        2.4103      0.000000       0.000000        0.000000      0.000000       0.000000
   11     2023   344           300.0000       -2713833.4619    5303935.1574   -2269513.6123       3.40965606        2.4345      0.000000       0.000000        0.000000      0.000000       0.000000
   12     2023   344           330.0000       -2713833.4450    5303935.1357   -2269513.5985       3.48906771        2.4376      0.000000       0.000000        0.000000      0.000000       0.000000
   13     2023   344           360.0000       -2713833.4299    5303935.1306   -2269513.5980       3.41760974        2.4393      0.000000       0.000000        0.000000      0.000000       0.000000
   14     2023   344           390.0000       -2713833.4452    5303935.1678   -2269513.6083       3.44539615        2.4346      0.000000       0.000000        0.000000      0.000000       0.000000
   15     2023   344           420.0000       -2713833.4135    5303935.1707   -2269513.6042       3.45765489        2.4364      0.000000       0.000000        0.000000      0.000000       0.000000
   16     2023   344           450.0000       -2713833.3751    5303935.1673   -2269513.5915       3.50957011        2.4397      0.000000       0.000000        0.000000      0.000000       0.000000
   17     2023   344           480.0000       -2713833.3603    5303935.1483   -2269513.5862       3.43948003        2.4453      0.000000       0.000000        0.000000      0.000000       0.000000
   18     2023   344           510.0000       -2713833.3735    5303935.1631   -2269513.5909       2.99255255        2.4478      0.000000       0.000000        0.000000      0.000000       0.000000
   19     2023   344           540.0000       -2713833.3617    5303935.1641   -2269513.5893       4.38707503        2.4501      0.000000       0.000000        0.000000      0.000000       0.000000
   20     2023   344           570.0000       -2713833.3459    5303935.1595   -2269513.5741       3.86286338        2.4514      0.000000       0.000000        0.000000      0.000000       0.000000
   21     2023   344           600.0000       -2713833.3096    5303935.1480   -2269513.5523       3.37568136        2.4564      0.000000       0.000000        0.000000      0.000000       0.000000
